[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[17], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[18], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[19], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[20], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[19], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 2 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 2 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[12], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[12], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 2 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 4 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[17], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 4 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 4 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[18], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[17], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[18], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[19], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[20], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[12], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[17], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[20], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 21 checking queue[19], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 9 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[4], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[13], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[14], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[15], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[5], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 4 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[18], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 4 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[9], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[19], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[20], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[17], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 7 checking queue[18], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 2 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 14 checking queue[12], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[6], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[7], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 3 checking queue[8], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 13 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 0 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[21], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[22], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[0], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 5 checking queue[16], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[1], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[12], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 8 checking queue[3], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 17 checking queue[11], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 19 checking queue[10], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 15 checking queue[2], empty=true, barrier=0, queued_tasks = 0
[23:12:27] Engine: [TaskScheduler] Thread 20 checking queue[13], empty=true, barrier=0, queued_tasks = 0
